img_dir_path,img_name,img_height,img_width,mask_label,polygon_points
/ssd_scratch/cvit/chocolite/OPMDData/Set12/,157280231978_1_left.jpeg,2048,1484,Mouth,"[(1404.1, 652.6), (1267.61, 641.01), (1131.08, 606.15), (1026.5, 582.91), (945.16, 524.81), (930.6, 469.6), (866.73, 484.15), (567.52, 672.97), (372.89, 800.79), (204.4, 1059.33), (216.02, 1184.24), (317.69, 1280.11), (468.75, 1402.11), (785.39, 1619.99), (1096.22, 1881.43), (1261.8, 2013.1), (1338.8, 2013.1), (1383.81, 1962.77), (1258.9, 1834.95), (1116.56, 1762.33), (1009.07, 1660.66), (930.64, 1619.99), (890.0, 1573.5), (910.3, 1541.6), (948.1, 1509.6), (1049.74, 1483.45), (1180.47, 1483.45), (1337.33, 1477.64), (1241.47, 1251.06), (1276.33, 960.56)]"
/ssd_scratch/cvit/chocolite/OPMDData/Set6/,527467926257_1_left.jpg,3264,2448,Mouth,"[(26.84, 2780.9), (281.04, 3080.86), (453.9, 3228.3), (1150.43, 3243.56), (1455.47, 3167.29), (1658.84, 2958.85), (1745.27, 2770.73), (1852.03, 2536.86), (2029.98, 2140.3), (1755.44, 1906.43), (1704.59, 1794.58), (1694.43, 1682.73), (1704.59, 1560.71), (1765.6, 1459.03), (1836.78, 1398.02), (1963.88, 1418.36), (2065.57, 1459.03), (2080.82, 1316.68), (2070.65, 1113.31), (2090.99, 838.77), (2106.24, 609.99), (2177.42, 355.78), (2187.59, 152.42), (2111.32, 30.4), (16.67, 25.31)]"
/ssd_scratch/cvit/chocolite/OPMDData/Set6/,578071452117_1_top.jpg,3264,2448,Mouth,"[(16.67, 355.78), (98.02, 193.09), (265.79, 30.4), (1862.2, 25.31), (2050.31, 360.86), (2096.07, 650.66), (2146.91, 960.79), (2106.24, 1240.42), (2035.06, 1514.96), (1892.71, 1692.9), (1724.93, 1789.5), (1577.49, 1850.51), (1480.89, 1997.95), (1435.14, 2150.47), (743.7, 2033.54), (153.94, 1947.11), (174.28, 1738.66), (21.75, 1504.79)]"
/ssd_scratch/cvit/chocolite/OPMDData/Set5/,079739991149_1_left.jpg,4160,1920,Mouth1,"[(4.27, 1068.89), (224.58, 608.83), (477.29, 19.17), (1779.72, 19.17), (1902.84, 135.81), (1902.84, 2863.78), (1449.25, 3097.05), (924.39, 3122.97), (490.25, 2863.78), (334.7, 2526.8), (263.5, 2403.7), (49.63, 1904.78), (360.65, 1801.1), (522.65, 1412.32), (444.89, 1185.53), (153.3, 1107.77)]"
/ssd_scratch/cvit/chocolite/OPMDData/Set12/,122266942398_1_top.png,1926,2901,Mouth,"[(1182.02, 295.57), (903.37, 252.95), (598.49, 187.39), (346.06, 302.13), (191.98, 492.27), (155.92, 738.14), (149.36, 1000.41), (182.14, 1197.1), (198.53, 1308.57), (428.01, 1220.05), (605.04, 1161.04), (791.91, 1154.49), (900.09, 1203.66), (991.88, 1279.06), (1031.22, 1459.37), (1011.55, 1639.67), (890.25, 1790.48), (821.41, 1856.04), (939.43, 1869.15), (1093.51, 1895.38), (1241.03, 1911.77), (1732.78, 1921.61), (1745.89, 1816.7), (1798.34, 1656.06), (1965.54, 1551.16), (2155.68, 1551.16), (2299.92, 1633.12), (2391.71, 1715.07), (2496.62, 1551.16), (2529.4, 1403.64), (2572.02, 1174.16), (2575.3, 911.89), (2509.73, 682.41), (2447.45, 485.71), (2286.81, 348.02), (2103.22, 289.01), (1847.52, 252.95), (1588.53, 249.68), (1395.11, 259.51)]"
/ssd_scratch/cvit/chocolite/OPMDData/Set12/,098159978605_1_others2.png,1402,1954,Mouth,"[(1142.69, 15.52), (1154.62, 130.86), (1178.48, 192.51), (1254.05, 194.5), (1325.64, 260.12), (1389.28, 317.79), (1558.31, 443.08), (1711.44, 616.09), (1747.24, 779.16), (1743.26, 956.15), (1703.49, 1107.29), (1619.96, 1240.53), (1482.75, 1332.01), (1351.49, 1383.71), (1238.3, 1392.1), (989.9, 1398.0), (643.5, 1393.7), (9.15, 1395.64), (11.14, 3.59)]"
/ssd_scratch/cvit/chocolite/OPMDData/Set5/,895890183280_1_left.jpg,4160,3120,Mouth1,"[(584.85, 1580.79), (558.93, 2189.89), (779.25, 2786.03), (1304.11, 2993.38), (1738.25, 3051.69), (2023.36, 2960.98), (2114.07, 2688.83), (2204.79, 2429.64), (2308.47, 2274.12), (2237.19, 2215.81), (2101.12, 2040.85), (2101.12, 2040.85), (2107.6, 1839.98), (2114.07, 1839.98), (2211.27, 1762.22), (2399.18, 1794.62), (2515.82, 1360.48), (2580.62, 1153.13), (2548.22, 822.66), (2185.35, 783.78), (1634.57, 790.26), (1129.15, 939.3), (720.9, 1451.2)]"
/ssd_scratch/cvit/chocolite/OPMDData/Set6/,357417957963_1_right.jpg,4160,3120,Mouth,"[(27.59, 848.58), (137.75, 712.5), (403.42, 608.83), (688.53, 433.88), (1168.03, 330.2), (1375.38, 265.4), (1803.05, 330.2), (2068.72, 479.23), (2256.63, 848.58), (2386.22, 1360.48), (2263.11, 1464.16), (2152.95, 1632.63), (2075.2, 1749.26), (1245.79, 1697.43), (1394.82, 1801.1), (1401.3, 1801.1), (1828.97, 1878.86), (2373.26, 1982.54), (2295.51, 2267.65), (2075.2, 2552.75), (1738.25, 2773.07), (1206.91, 2909.14), (727.41, 2863.78), (14.64, 2604.59)]"
/ssd_scratch/cvit/chocolite/OPMDData/Set11/,051244361553_1_bottom.png,3175,3917,Mouth,"[(476.83, 45.84), (566.9, 262.01), (557.89, 437.65), (359.73, 613.28), (12.96, 802.43), (30.98, 2675.91), (30.98, 2982.15), (832.61, 3103.75), (2755.62, 3076.72), (3588.78, 3103.75), (3890.51, 3090.23), (3881.51, 739.38), (3714.88, 496.19), (3534.73, 271.01), (3435.66, 117.89), (3435.66, 36.83), (3196.97, 27.82)]"
/ssd_scratch/cvit/chocolite/OPMDData/Set5/,467627772170_1_others2.jpg,4160,3120,Mouth1,"[(53.51, 1464.16), (390.46, 971.69), (396.94, 952.26), (740.37, 395.0), (753.33, 382.04), (1187.47, 200.6), (1226.35, 194.12), (1725.29, 64.53), (2360.31, 174.69), (2366.79, 174.69), (2697.25, 414.44), (2697.25, 414.44), (2807.41, 699.55), (2807.41, 712.5), (2697.25, 1081.85), (2425.1, 1425.28), (2373.26, 1626.15), (2813.89, 1956.62), (2852.77, 2060.29), (2580.62, 2222.29), (2580.62, 2222.29), (2463.98, 2442.6), (2489.9, 2662.91), (2613.02, 2786.03), (2613.02, 2786.03), (2476.94, 2876.74), (2444.54, 3019.3), (2425.1, 3168.33), (2425.1, 3168.33), (2360.31, 3291.45), (2042.8, 3505.28), (1362.42, 3628.39), (792.21, 3459.92), (358.06, 3045.22), (27.6, 2319.48)]"
